fa_num, fa_me_id, fa_q, fa_a
1,smegadmin,A/S는 어떻게 받을 수 있나요?(A/S신청 방법 동영상),"정상적인 사용 중에 발생한 성능/기능상 하자 상품에 의한 반품 | 교환 | A/S | 환불| 품질보증 및 피해 보상 등에 관한 사항은 소비자 분쟁 해결기준에 따라 진행됩니다. <br>
<br>
무상 품질보증기간 : 1년 <br>
제품별 무상 A/S기간 <br>
업소용 가전(푸드서비스 오븐 및 식기세척기)|와인셀러 : 2년 <br>
<br>
상기 제품 외 모든 제품 : 1년 <br>
- 고객의 과실로 인한 A/S는 1년 이내일 경우에도 유상 수리됩니다. <br> 
- 무상 A/S 2년 제품 중 무상 품질보증기간 1년 경과 시 출장비 부과됩니다. <br>
- 푸드서비스 오븐 및 식기세척기 외의 제품은 일반 가정용으로 제작되었기에 영업용|상업용으로 사용할 경우 무상 품질 보증 기간이 적용되지 않을 수 있습니다. (중요 부품 포함) <br>
- 유상 수리의 경우|상품과 수리 종류에 따라 출장비/공임비/부품비가 발생합니다. <br>
- A/S 신청은 스메그 코리아 공식몰에서 온라인으로 가능하며 신청 시 제품의 S/N 와 구매 이력을 확인하고 있습니다. 수리 제품에 S/N 스티커가 없거나 접수된 SN 번호와 다른 제품인 경우 수리를 진행하지 않고 출장비가 발생됩니다. (공식 판매점 제품이 아닌 경우 A/S 불가) <br>
- A/S 신청이 진행되면 직영 또는 협력사 센터 통해 수리가 진행됩니다. 단|공휴일은 제외되며 부품이 품절인 경우 해당 부품 수급이 될 때까지 수리가 불가할 수 있습니다. <br>
1. 소형가전|홈카페 상품 AS 진행 안내 <br>
가. 스메그코리아 공식몰 온라인으로 AS 신청 후 센터 방문으로 진행됩니다. <br>
나. 제품 수령 날짜|모델명|시리얼 번호|고장 증상 확인 후 스메그코리아 공식몰 A/S 신청 → 센터 방문 안내 알림톡 수령 → AS 신청 제품 가지고 센터 방문 진행 <br>
2. 대형가전|빌트인|푸드서비스(전문가용) |후드|와인셀러 상품 진행 안내 <br>
가. 스메그코리아 공식몰 온라인으로 AS 신청 후 기사 방문으로 진행됩니다. <br>
나. 제품 수령 날짜|모델명|시리얼 번호|고장 증상을 확인하시고 공식몰 A/S 신청 → A/S 센터에서 접수 내용 확인 → 우선 상담 및 방문 일정 안내 <br>
3. A/S 접수는 홈페이지 좌측 메뉴 ""A/S 접수"" 에 신청해주시거나 홈페이지 내 1:1 문의로 S/N 문의주시기 바랍니다. <br>
<br>
▶ A/S 접수방법 (동영상)으로 이동하기 <br>
▶ 제품 시리얼 넘버 확인 방법 (동영상)으로 이동하기 "
2,smegadmin,냉장고 배송 시 기존 폐냉장고도 수거하나요?,"안타깝게도 당사에서는 제품 설치 이후 기존 폐냉장고등 폐가전 수거는 하지 않고 있습니다. <br>
죄송합니다만|폐냉장고 수거는 고객님께서 별도로 알아봐주셔야 하는 점 양해 말씀드립니다.<br>
(폐가전 배출문의 : 한국전자제품자원순환공제조합 tel. 1599-0903)"
3,smegadmin,상품을 직접 보고 구매할 수 있는 곳이 있나요?,"스메그코리아의 오프라인 매장은 서울지역 청담플래그쉽|푸드서비스 스토어|신세계강남|롯데 명동점이 있으며 현대판교점|신세계대전점|현대대구점|신세계대구점|신세계센텀점|롯데광주점등 총 10개 매장입니다. <br>
자세한 매장 안내는 아래 링크를 클릭하여 주시기 바랍니다. <br>
홈페이지 매장안내 -> 링크 추가 필요"
4,smegadmin,배송일 지정 가능한가요?,"배송일 지정의 경우 배송 메세지란에 원하시는 배송일 남겨주시면 최대한 반영되도록 노력하겠습니다. (단|예약상품 제외) <br>
다만|평일에만 배송이 가능하며 제주도는 월 1회 배송진행 되며 배송 스케줄에 따라 반영 어려울 수 있는 점 양해 부탁드립니다. <br>
정확한 일정은 결제일로부터 영업일 기준 2일내에 홈페이지 내 1:1 문의로 문의주시면 배송일 확인이 가능합니다."
5,smegadmin,정품등록이 무엇인가요?,"이전에 멤버십 등록 서비스가 "" 정품등록 프로그램"" 으로 새롭게 변경되었습니다. <br>
정품등록 프로그램은 기존 멤버십 등록 서비스와 달리 기간 제한이 없습니다. <br>
정품등록후 정품혜택가 수량을 모두 사용할 때 까지 이용할 수 있으며 정품혜택가 수량이 모두 소진되면 일반 정상가로 이용하실 수 <br>
있습니다. (일부 액세서리 상품에 따라 차이 있으며 수량 제한 또는 무제한 차등 적용) <br>
스메그코리아 홈페이지에서 제공되는 A/S|액세서리 구매 등 서비스 이용을 원하실 경우 어떤 제품이든 정품등록은 필수입니다. <br>
중고 구매의 경우는 스메그코리아에서 구매하신 제품일 경우 정품등록이 가능하며 정품혜택가 이용은 불가하나 액세서리 구매시 <br>
일반 정상가 주문은 가능합니다. (일부 액세서리 상품에 따라 차이 있음)<br>"
6,smegadmin,반자동 커피머신 필터 내 물이 고이는데 왜 그런가요?,"반자동 커피머신의 경우 원두에 따른 편차에 따라 추출 품질에 차이가 있을 수 있으며 원두가루의 본쇄도와 원두가루 양에 따라 차이가 생길 수 있습니다. <br>
너무 미세한 원두 가루일 경우|템핑을 많이 할 경우|필터내 원두가루가 많이 담길 경우에 추출후 필터내 물이 고이는 증상이 나타 날수 있습니다.<br>"
7,smegadmin,토스터 커버 구매할 수 있나요?,토스터기 커버는 당사 스메그코리아에서 구매한 제품에 한해 1회성으로 무상 제공해 드리는 것으로 판매가 되지 않으며 개별 구매는 어렵습니다.
8,smegadmin,반자동 커피머신 커피양 조절은 어떻게 하나요?,"사용설명서 [커피 수량 설정 -> 사용설명서 37P 참조] 기계에서 배출되는 커피 수량을 조절하는 방법입니다. <br>
1. 하나 또는 두 개의 컵을 필터 홀더 스파우트 아래에 둡니다. <br>
2. 한 잔 또는 두 잔을 누르고 있습니다. <br>
3. 기계는 커피를 배출하기 시작할 것입니다. <br>
4. 원하는 양의 커피가 나오는 순간 버튼에서 손을 뗍니다. <br>
5. 조명이 깜빡이면서 선택한 커피 양이 저장된 것을 알립니다."
9,smegadmin,오븐 공회전은 어떻게 하나요?,"컨벡션 오븐의 공회전시 오븐 트레이도 함께 넣어서 공회전 해주시면 됩니다 <br>
공회전 방법은 온도 100도|10분 -> 식힌후 물걸레질 ->온도 150도|10분 ->식힌후 물걸레질 ->온도 200도|10분 -> 송풍 10분 으로 진행해 주시면 됩니다."
10,smegadmin,직냉식 냉장고 벽면에 이슬이 맺히고 성에가 생기는데 왜 그런가요?,"냉장고 직냉식(직접 냉각방식)은 벽면에 냉기를 주입하여 냉기를 순환시키는 방식의 제품입니다. <br>
제품 내부 벽면 전체가 차가워지는 방식이기때문에 넓은 범위에 이슬 또는 성에가 낄 수 있습니다. <br>
따라서 벽면에 이슬이 맺히고 성에가 끼는 것이 반복 될 수 있으며|이슬이 맺히지 않는다는 것은 냉기가 순환되고 있지 않다는 것으로 볼 수 있습니다. <br>
이러한 현상은 직냉식 냉장고 특성상 생길 수 있는 부분이오니 참고 바랍니다."
