sp_num,sp_name,sp_ori_name,sp_pr_code
1,/2024/05/13/slides_01_01_01.png ,slides_01_01_01.png ,FAB28RDGM5
2,/2024/05/13/slides_01_01_02.png ,slides_01_01_02.png ,FAB28RDGM5
3,/2024/05/13/slides_01_01_03.png ,slides_01_01_03.png ,FAB28RDGM5
4,/2024/05/13/slides_01_02_01.png ,slides_01_02_01.png ,FAB28RDGC5
5,/2024/05/13/slides_01_02_02.png ,slides_01_02_02.png ,FAB28RDGC5
6,/2024/05/13/slides_01_02_03.png ,slides_01_02_03.png ,FAB28RDGC5
7,/2024/05/13/slides_01_03_01.png ,slides_01_03_01.png ,CJF01DGEU
8,/2024/05/13/slides_01_03_02.png ,slides_01_03_02.png ,CJF01DGEU
9,/2024/05/13/slides_01_03_03.png ,slides_01_03_03.png ,CJF01DGEU
10,/2024/05/13/slides_01_04_01.png ,slides_01_04_01.png ,TSF01DGEU
11,/2024/05/13/slides_01_04_02.png ,slides_01_04_02.png ,TSF01DGEU
12,/2024/05/13/slides_01_04_03.png ,slides_01_04_03.png ,TSF01DGEU
13,/2024/05/13/slides_01_05_01.png ,slides_01_05_01.png ,KLF03DGEU
14,/2024/05/13/slides_01_05_02.png ,slides_01_05_02.png ,KLF03DGEU
15,/2024/05/13/slides_01_05_03.png ,slides_01_05_03.png ,KLF03DGEU
16,/2024/05/13/slides_02_01_01.png ,slides_02_01_01.png ,SMEG500R
17,/2024/05/13/slides_02_01_02.png ,slides_02_01_02.png ,SMEG500R
18,/2024/05/13/slides_02_01_03.png ,slides_02_01_03.png ,SMEG500R
19,/2024/05/13/slides_02_02_01.png ,slides_02_02_01.png ,SMEG500G
20,/2024/05/13/slides_02_02_02.png ,slides_02_02_02.png ,SMEG500G
21,/2024/05/13/slides_02_02_03.png ,slides_02_02_03.png ,SMEG500G
22,/2024/05/13/slides_02_03_01.png ,slides_02_03_01.png ,SMEG500V
23,/2024/05/13/slides_02_03_02.png ,slides_02_03_02.png ,SMEG500V
24,/2024/05/13/slides_02_03_03.png ,slides_02_03_03.png ,SMEG500V
